Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
7031;Q4;12.8;13.7;14.8;16.6;20.0;23.2;25.1;25.6;24.8;21.0;18.3;14.2;26.6
7031;Max;14.8;14.2;17.0;17.6;20.8;24.2;27.4;27.0;27.0;23.0;19.4;16.2;27.4
7031;Mn;11.1;12.0;13.2;15.4;19.1;22.1;24.2;25.1;23.1;19.6;16.0;12.8;25.2
7031;Md;11.3;12.3;13.3;15.2;18.7;22.0;24.5;25.1;23.3;19.8;16.6;12.8;25.3
7031;S;1.64;1.29;1.56;1.43;1.56;1.28;1.15;0.94;1.61;1.47;1.63;1.73;1.18
7031;Cv;0.15;0.11;0.12;0.09;0.08;0.06;0.05;0.04;0.07;0.07;0.10;0.13;0.05
9262;N;28;29;30;29;28;30;29;29;29;30;29;29;24
9262;Min;4.4;4.8;6.6;6.2;9.7;16.0;16.8;17.0;15.0;11.0;7.6;4.5;18.0
9262;Q1;6.9;6.5;9.0;9.2;13.3;16.6;18.4;18.4;16.0;13.0;10.0;7.0;19.3
9262;Q2;7.8;7.5;9.5;10.4;14.5;17.5;19.2;19.0;16.6;15.2;11.4;8.0;20.0
9262;Q3;8.3;8.6;10.2;12.0;15.1;18.4;20.0;19.7;17.8;16.5;12.0;9.0;20.8
9262;Q4;10.0;10.0;11.9;13.0;16.0;19.5;21.0;21.0;19.4;18.0;13.2;11.4;22.5
9262;Max;12.0;10.2;17.0;16.2;20.0;21.2;25.0;23.8;23.0;20.4;14.3;15.0;25.0
9262;Mn;8.0;8.1;9.7;11.0;14.8;18.0;19.5;19.5;17.1;16.1;11.6;8.4;20.5
9262;Md;8.1;8.0;10.2;11.4;14.7;18.0;19.8;19.7;17.7;15.8;11.5;8.8;20.7
9262;S;1.74;1.72;2.02;2.16;1.87;1.41;1.94;1.73;2.01;2.52;1.58;2.27;1.76
9262;Cv;0.22;0.22;0.20;0.19;0.13;0.08;0.10;0.09;0.11;0.16;0.14;0.26;0.08
9263D;N;30;30;30;30;30;30;30;30;30;30;30;29;29
9263D;Min;3.2;4.6;7.2;5.6;9.6;15.2;16.2;16.6;13.2;11.0;8.2;5.6;18.2
9263D;Q1;6.0;5.6;8.0;9.8;13.0;16.0;17.8;17.6;15.6;12.7;9.8;6.6;18.8
