Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1212E;Q4;20.6;21.0;23.8;24.6;25.7;27.1;29.3;27.5;29.4;27.0;24.0;21.0;32.5
1212E;Max;23.5;24.3;26.7;28.6;33.6;36.0;33.0;31.6;36.0;31.0;25.6;25.6;36.0
1212E;Mn;19.1;19.7;21.5;22.1;23.8;24.5;26.3;26.8;26.2;24.7;22.4;20.0;29.8
1212E;Md;19.0;19.5;21.6;22.0;23.9;25.6;26.8;26.8;27.1;24.9;22.0;19.8;30.1
1212E;S;2.18;2.15;2.42;2.48;2.95;3.38;2.44;1.74;3.17;2.50;2.14;2.24;2.65
1212E;Cv;0.11;0.11;0.11;0.11;0.12;0.13;0.09;0.06;0.12;0.10;0.10;0.11;0.09
1208H;N;9;9;9;10;10;10;10;10;10;10;10;10;9
1208H;Min;;;;;;;;;;;;;
1208H;Q1;;;;;;;;;;;;;
1208H;Q2;;;;;;;;;;;;;
1208H;Q3;;;;;;;;;;;;;
1208H;Q4;;;;;;;;;;;;;
1208H;Max;;;;;;;;;;;;;
1208H;Mn;;;;;;;;;;;;;
1208H;Md;;;;;;;;;;;;;
1208H;S;;;;;;;;;;;;;
1208H;Cv;;;;;;;;;;;;;
1249I;N;30;30;30;30;30;30;30;30;30;30;30;30;30
1249I;Min;12.8;15.2;17.2;16.4;17.0;24.0;25.0;26.2;24.4;20.8;17.3;15.3;29.0
1249I;Q1;16.7;17.3;20.6;21.5;24.0;26.0;28.2;28.1;25.8;22.3;20.0;17.5;30.7
1249I;Q2;18.1;19.3;21.6;23.2;25.6;27.6;29.2;28.9;27.6;25.2;21.9;18.8;32.2
1249I;Q3;19.2;20.3;23.1;24.6;27.3;29.0;30.3;31.3;29.2;26.8;22.5;19.8;33.5
1249I;Q4;20.5;21.8;24.9;26.1;28.4;31.5;31.8;32.2;32.4;27.6;23.3;21.3;35.0
1249I;Max;22.0;24.6;26.8;28.3;32.0;35.5;35.0;35.6;36.4;31.4;26.6;23.0;36.4
1249I;Mn;18.7;19.6;22.3;24.1;26.6;28.0;29.4;30.1;28.8;25.9;22.3;19.2;32.6
1249I;Md;18.6;19.5;22.5;23.7;26.2;28.8;29.9;30.2;29.1;25.5;21.8;19.4;32.9
1249I;S;2.01;2.28;2.30;2.55;2.93;3.26;2.34;2.40;3.37;2.71;2.08;2.07;2.14
1249I;Cv;0.11;0.12;0.10;0.11;0.11;0.11;0.08;0.08;0.12;0.11;0.10;0.11;0.07
2444;N;28;27;28;28;27;27;27;28;28;28;27;28;25
2444;Min;11.4;11.6;14.0;16.4;20.8;26.5;31.0;30.0;26.4;19.2;14.4;11.8;33.2
2444;Q1;13.0;14.1;18.1;19.9;23.8;29.2;33.3;32.0;28.2;22.0;16.7;14.0;34.0
2444;Q2;14.0;15.4;19.8;21.6;26.2;31.0;34.0;33.6;29.7;23.5;17.8;15.1;34.7
2444;Q3;14.5;16.9;20.6;22.9;27.3;31.8;34.4;34.1;30.9;24.7;19.4;15.6;35.3
2444;Q4;15.4;18.4;21.2;24.1;28.5;33.3;35.3;35.0;31.4;25.6;20.1;17.0;36.4
2444;Max;19.6;19.8;22.6;25.4;30.6;34.8;37.6;37.4;35.4;29.2;22.4;19.0;37.6
2444;Mn;14.0;16.6;20.2;22.8;26.5;31.3;34.0;33.9;30.3;23.8;18.8;15.3;35.0
2444;Md;14.5;16.2;19.7;21.9;26.3;31.3;34.1;33.8;30.2;24.0;18.5;15.4;35.2
2444;S;1.86;2.19;1.95;2.52;2.67;2.25;1.43;1.74;2.13;2.16;2.16;1.64;1.15
