Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
3196;Cv;0.56;0.47;0.32;0.20;0.18;0.16;0.11;0.09;0.15;0.16;0.26;0.31;0.52
3200;N;30;30;30;30;30;30;30;30;30;30;30;30;30
3200;Min;0.2;2.0;5.0;6.2;9.6;12.0;18.0;22.0;14.4;9.8;2.6;1.4;0.2
3200;Q1;1.9;3.8;6.4;10.0;12.4;18.2;24.0;23.2;17.4;11.4;7.2;3.0;1.8
3200;Q2;3.6;5.3;9.6;10.7;13.8;20.6;25.4;24.6;18.0;13.3;8.2;5.2;2.6
3200;Q3;5.6;6.8;10.2;11.3;15.2;21.8;26.4;26.1;19.3;14.1;9.3;6.1;3.6
3200;Q4;7.2;8.9;11.6;12.4;16.4;23.8;28.2;27.6;22.0;15.9;10.2;7.0;5.4
3200;Max;8.6;12.8;15.8;15.9;18.2;26.4;30.0;29.6;28.0;18.6;14.4;9.2;6.4
3200;Mn;4.9;5.6;10.0;11.0;14.4;20.6;26.0;25.8;18.9;13.6;9.0;5.8;3.2
3200;Md;4.6;6.3;9.6;11.0;14.4;20.9;25.8;25.5;19.3;13.7;8.6;5.3;3.4
3200;S;2.45;2.71;2.72;2.12;2.26;3.07;2.59;2.20;2.91;2.22;2.31;2.04;1.75
3200;Cv;0.53;0.43;0.28;0.19;0.16;0.15;0.10;0.09;0.15;0.16;0.27;0.39;0.52
3195;N;30;30;30;30;30;30;30;30;30;30;30;30;30
3195;Min;0.1;2.0;3.0;6.5;9.6;13.0;17.5;20.0;12.5;8.8;2.5;1.4;0.1
3195;Q1;2.0;3.4;5.5;9.4;11.8;17.0;22.8;22.2;16.4;10.5;6.6;3.2;2.0
3195;Q2;3.2;4.8;8.6;10.1;13.4;19.3;24.0;23.4;17.7;12.5;7.0;4.7;2.5
3195;Q3;5.4;5.8;9.6;11.0;14.2;21.6;25.6;24.9;18.8;13.7;8.7;6.0;3.8
3195;Q4;6.5;8.2;11.4;12.3;15.8;22.9;27.4;26.7;20.8;14.6;9.5;6.8;4.6
3195;Max;8.6;11.0;15.2;14.5;18.1;25.2;29.6;29.0;25.4;16.6;13.6;7.8;5.8
3195;Mn;4.7;5.3;9.2;10.5;13.7;19.7;24.8;24.2;18.5;13.3;8.0;5.5;3.2
3195;Md;4.3;5.7;9.0;10.7;13.7;20.0;24.8;24.4;18.4;12.8;8.0;5.2;3.2
3195;S;2.37;2.45;2.94;1.92;2.11;3.02;2.75;2.29;2.76;2.06;2.22;1.76;1.51
3195;Cv;0.55;0.43;0.33;0.18;0.15;0.15;0.11;0.09;0.15;0.16;0.28;0.34;0.47
3175;N;29;30;30;30;30;29;30;30;30;29;30;30;27
3175;Min;0.5;2.2;5.0;7.6;10.2;12.4;19.0;22.0;14.6;9.2;3.1;1.2;0.5
3175;Q1;1.4;3.8;6.6;10.1;12.1;18.1;23.0;23.3;17.2;12.0;6.9;3.6;1.3
3175;Q2;3.8;5.9;8.8;10.9;13.7;20.6;25.0;24.8;18.6;13.7;8.0;5.0;2.7
3175;Q3;5.2;6.8;10.6;11.6;14.9;22.2;27.1;26.1;20.2;15.0;9.4;6.1;3.7
3175;Q4;7.9;9.3;11.9;12.6;16.6;24.4;28.5;27.5;21.7;16.0;10.7;7.2;4.8
3175;Max;8.6;12.0;16.2;16.7;20.4;26.8;30.6;30.0;26.8;18.0;14.2;9.2;6.8
3175;Mn;4.5;6.3;9.8;11.1;14.5;21.2;26.0;25.5;20.0;14.3;8.6;5.9;3.2
3175;Md;4.6;6.6;9.7;11.4;14.4;21.1;26.0;25.5;19.7;14.0;8.7;5.4;3.3
3175;S;2.68;2.63;2.93;1.99;2.48;3.32;2.83;2.12;2.73;2.29;2.32;1.97;1.76
3175;Cv;0.59;0.40;0.30;0.17;0.17;0.16;0.11;0.08;0.14;0.16;0.27;0.36;0.54
2462;N;30;30;30;30;30;30;30;30;30;30;30;30;30
2462;Min;-11.0;-9.4;-7.6;-5.0;-3.0;2.2;6.6;8.0;2.8;-3.0;-6.6;-8.0;-11.0
2462;Q1;-8.8;-7.9;-5.9;-3.0;-0.8;5.6;11.2;10.9;4.6;-0.4;-5.2;-6.7;-9.1
2462;Q2;-6.0;-6.2;-3.9;-1.8;0.3;7.3;12.8;12.9;6.6;1.4;-3.7;-4.7;-8.0
2462;Q3;-4.8;-4.5;-2.6;-0.9;2.7;9.4;14.8;14.6;8.4;2.7;-1.9;-2.9;-7.1
2462;Q4;-3.0;-1.6;-0.8;0.2;5.2;12.4;16.7;17.3;9.9;4.0;-0.3;-2.1;-5.8
2462;Max;1.8;0.8;7.0;4.0;8.1;15.8;19.2;18.8;16.4;7.2;3.4;-0.6;-3.0
2462;Mn;-5.7;-5.6;-3.5;-1.3;1.3;8.4;13.8;13.9;7.2;2.2;-2.1;-3.9;-7.4
2462;Md;-5.7;-4.9;-3.0;-1.3;2.0;8.7;13.7;13.8;7.6;1.9;-2.6;-4.2;-7.3
2462;S;3.14;2.96;2.93;1.94;3.12;3.39;3.13;2.91;3.09;2.51;2.46;2.25;2.04
2462;Cv;-0.55;-0.60;-0.97;-1.53;1.55;0.39;0.23;0.21;0.41;1.33;-0.96;-0.53;-0.28
6155A;N;30;30;30;30;30;30;30;30;29;30;30;30;29
6155A;Min;6.8;8.0;9.4;12.6;15.4;17.4;21.6;23.4;21.0;16.0;9.8;10.4;6.8
6155A;Q1;9.8;11.9;13.5;14.7;17.2;22.4;25.0;25.3;22.2;18.2;13.8;11.7;9.4
6155A;Q2;11.4;13.2;14.6;15.8;19.4;22.9;25.7;26.1;23.8;19.5;14.7;12.6;10.8
6155A;Q3;12.6;13.8;15.8;16.4;19.8;23.6;26.2;26.5;24.4;20.4;15.8;13.2;11.8
6155A;Q4;13.8;15.3;16.2;18.1;20.4;24.2;27.0;28.0;25.0;21.4;16.6;14.0;12.4
6155A;Max;15.4;18.0;17.6;19.6;22.0;25.6;28.0;29.0;26.6;22.4;18.6;15.6;14.0
6155A;Mn;12.0;13.6;15.4;16.2;19.4;23.3;25.9;26.4;24.2;20.1;15.2;13.0;11.2
6155A;Md;11.8;13.4;14.8;16.3;19.0;23.0;25.8;26.4;23.9;19.7;15.1;13.0;11.0
6155A;S;2.21;2.12;1.82;1.67;1.67;1.61;1.22;1.40;1.50;1.73;1.91;1.33;1.84
6155A;Cv;0.19;0.16;0.12;0.10;0.09;0.07;0.05;0.05;0.06;0.09;0.13;0.10;0.17
6000A;N;29;28;30;30;30;30;30;30;30;30;30;30;28
6000A;Min;7.2;10.0;9.0;13.8;15.4;17.4;20.8;23.2;20.4;17.0;10.4;10.6;7.2
6000A;Q1;11.0;11.4;13.0;15.0;17.1;20.5;24.0;24.8;21.8;17.8;14.2;12.8;10.4
6000A;Q2;12.4;12.1;14.0;15.9;18.0;21.8;24.4;25.5;23.0;19.7;15.2;13.6;11.4
6000A;Q3;13.0;13.6;14.2;16.4;18.4;22.6;25.2;26.8;24.0;20.4;16.1;14.2;11.7
6000A;Q4;14.4;14.5;15.0;17.6;19.9;23.2;26.3;27.4;25.0;21.2;17.0;15.4;12.4
6000A;Max;15.0;16.6;17.0;18.0;20.2;25.0;27.8;29.4;27.0;22.2;19.2;16.6;14.4
6000A;Mn;12.8;12.7;14.1;16.1;18.3;22.2;24.8;26.6;23.3;20.0;15.8;13.9;11.6
6000A;Md;12.5;13.0;13.9;16.2;18.2;21.8;24.9;26.2;23.5;19.8;15.7;14.0;11.3
6000A;S;1.88;1.71;1.69;1.21;1.27;1.75;1.50;1.41;1.68;1.57;2.00;1.53;1.50
6000A;Cv;0.15;0.13;0.12;0.07;0.07;0.08;0.06;0.05;0.07;0.08;0.13;0.11;0.13
7178I;N;26;26;26;27;27;27;27;27;27;27;27;27;26
7178I;Min;5.5;7.4;8.8;12.0;12.8;19.2;24.2;25.6;19.2;14.3;8.0;7.6;5.5
7178I;Q1;8.4;9.1;11.2;14.2;16.2;22.3;28.1;27.9;22.2;17.8;11.9;10.3;7.6
7178I;Q2;9.0;11.0;12.2;15.7;18.2;25.1;29.0;29.3;23.5;19.2;14.1;11.2;8.4
7178I;Q3;10.8;12.4;13.9;17.6;19.5;26.0;30.0;30.0;24.8;20.0;15.4;11.6;9.6
7178I;Q4;12.8;13.7;15.6;18.9;22.5;26.7;31.1;30.8;26.4;22.0;16.2;13.0;10.5
7178I;Max;15.0;17.0;17.0;21.0;25.0;29.0;32.0;32.4;29.8;24.2;17.4;15.0;11.6
7178I;Mn;9.7;11.4;12.8;16.2;18.6;26.0;29.4;29.6;23.8;19.8;15.0;11.5;9.3
7178I;Md;10.1;11.6;13.2;16.6;19.1;24.9;29.3;29.5;24.1;19.7;14.2;11.4;8.9
7178I;S;2.49;2.63;2.34;2.29;3.09;2.45;1.77;1.58;2.45;2.33;2.36;1.71;1.67
